,id,title,release_year,age_certification,runtime,production_countries,imdb_score
128,tm117873,Hum Aapke Hain Koun..!,1994,,206,['IN'],7.5
129,tm55100,Dil Se..,1998,PG-13,163,['IN'],7.5
130,tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,1998,G,75,['US'],7.9
131,tm188606,Sankofa,1993,,124,"['DE', 'GH', 'GB', 'US', 'BF']",7.0
132,tm41525,Herod's Law,1999,R,123,['MX'],7.8
133,tm189171,Wild Tango,1993,R,124,"['ES', 'AR']",6.7
134,tm63514,The Last Days,1998,PG-13,87,['US'],7.9
135,tm21911,Sam Kinison: Live in Vegas,1991,,72,['US'],6.6
136,tm188970,Bill Hicks: Revelations,1993,,74,['GB'],8.5
137,tm12876,Bombay,1995,,141,['IN'],8.1
138,tm62176,Mann,1999,,174,['IN'],6.1
139,tm52871,Soldier,1998,,156,['IN'],6.2
140,tm8687,Sam Kinison: Family Entertainment Hour,1991,,49,['US'],
141,tm104933,Sinbad: Son of a Preacher Man,1996,,56,['US'],6.8
142,tm184326,Damini,1993,,175,['IN'],7.8
143,tm62385,Hum Saath Saath Hain,1999,G,177,['IN'],6.2
144,tm191614,Destiny,1997,,136,"['FR', 'EG']",7.1
145,tm110766,Chronicle of a Disappearance,1996,,88,"['PS', 'US', 'FR', 'DE']",6.9
146,tm9898,Muthu,1995,G,165,['IN'],7.6
147,tm47530,Jeans,1998,,175,['IN'],6.4
148,tm57169,Monty Python: Live at Aspen,1998,,58,"['GB', 'US']",7.8
149,tm192301,Minsara Kanavu,1997,G,145,['IN'],6.7
150,tm58893,Duplicate,1998,PG,165,['IN'],5.5
151,tm110160,Avvai Shanmugi,1996,PG-13,160,['IN'],7.9
152,tm118438,Anjaam,1994,,137,['IN'],6.6
153,tm424630,A Triumph of the Heart: The Ricky Bell Story,1991,,100,['US'],7.2
154,tm27601,Phir Bhi Dil Hai Hindustani,2000,PG-13,160,['IN'],6.1
155,tm203186,Children of Shatila,1999,,50,['LB'],8.1
156,tm128073,Bill Hicks: Relentless,1992,,61,['GB'],
157,tm7951,Tim Allen: Rewires America,1991,PG,30,['US'],6.0
158,tm7135,Bill Hicks: One Night Stand,1991,NC-17,30,['US'],
159,tm52083,West Beirut,1998,PG-13,105,"['FR', 'NO', 'LB', 'BE']",7.6
160,tm340430,Govindha Govindha,1993,,145,['IN'],6.6
161,tm7032,Out of Life,1991,,97,"['BE', 'FR', 'IT', 'LB']",6.9
162,tm256669,Gumrah,1993,,149,['IN'],6.1
163,tm64729,Sinbad: Nothin' but the Funk,1998,,56,['US'],6.3
164,tm184224,Sinbad: Afros and Bellbottoms,1993,PG-13,60,['US'],7.8
165,tm25389,Fiza,2000,,170,['IN'],6.0
166,tm34391,Before the Flying Circus,2000,,55,['GB'],7.3
167,tm44776,The Other,1999,,106,"['FR', 'EG']",5.9
168,tm334788,Yodha,1991,,142,['IN'],4.5
169,tm117840,The Emigrant,1994,,129,"['FR', 'EG']",6.5
170,tm42397,Hello Brother,1999,,131,['IN'],4.6
171,tm314602,Dushmani,1995,,156,['IN'],5.0
172,tm255589,One Last Shot,1998,,30,[],
173,tm7810,Nightmare in Columbia County,1991,,100,['US'],5.5
174,tm210754,Have You Ever Seen Fireflies? - Theatre Play,1999,,118,['TR'],
175,tm449775,Shikari,1991,,162,"['IN', 'SU']",5.8
176,tm74402,The Mist,2007,R,126,['US'],7.1
