,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,crew
29,ts21581,Girlfriends,2000,TV-PG,21,"['drama', 'comedy']",['US'],8.0,7.2,4528.0,"['Tracee Ellis Ross 63014 ACTOR', 'Golden Brooks 66195 ACTOR', 'Persia White 98298 ACTOR', 'Reggie Hayes 251818 ACTOR', 'Jill Marie Jones 84917 ACTOR']"
30,ts20918,The Parkers,1999,TV-PG,19,['comedy'],['US'],5.0,6.8,2377.0,"[""Mo'Nique 33016 ACTOR"", 'Countess Vaughn 89631 ACTOR', 'Jenna von Oy 205396 ACTOR', 'Ken Lawson 279255 ACTOR', 'Yvette Wilson 271673 ACTOR', 'Dorien Wilson 111607 ACTOR']"
31,ts21693,"Sister, Sister",1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,6.2,12657.0,"['Tia Mowry-Hardrict 57074 ACTOR', 'Tamera Mowry-Housley 57075 ACTOR', 'Jackée Harry 74754 ACTOR', 'Marques Houston 62926 ACTOR', 'Tim Reid 84270 ACTOR']"
32,ts20939,Moesha,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,5.8,3747.0,"['Brandy Norwood 24450 ACTOR', 'William Allen Young 30009 ACTOR', 'Marcus T. Paulk 34695 ACTOR', 'Lamont Bentley 198817 ACTOR', 'Shar Jackson 65179 ACTOR', 'Ray J 135504 ACTOR']"
33,ts21684,Heartbreak High,1994,TV-MA,45,"['drama', 'romance', 'comedy']",['AU'],7.0,7.8,3139.0,"['Callan Mulvey 5808 ACTOR', 'Putu Winchester 760585 ACTOR']"
34,ts22080,Oggy and the Cockroaches,1999,TV-Y7,9,"['animation', 'comedy', 'family', 'action', 'european']",['FR'],7.0,7.4,4281.0,['Greg Eagles 19067 ACTOR']
35,ts28516,Okupas,2000,TV-MA,40,"['drama', 'crime']",['AR'],1.0,9.0,2399.0,"['Rodrigo de la Serna 91722 ACTOR', 'Diego Alonso 396776 ACTOR', 'Ariel Staltari 384622 ACTOR', 'Franco Tirri 727819 ACTOR', 'Dante Mastropierro 1404870 ACTOR', 'Ana Celentano 161705 ACTOR', 'Augusto Brítez 1410665 ACTOR', 'Jorge Sesán 129198 ACTOR', 'Bruno Stagnaro 451452 DIRECTOR']"
36,ts22039,H,1998,TV-MA,25,['comedy'],['FR'],4.0,7.4,1727.0,"['Eric Judor 54009 ACTOR', 'Ramzy Bedia 41557 ACTOR', 'Sophie Mounicot 122846 ACTOR', 'Jamel Debbouze 44126 ACTOR', 'Catherine Benguigui 24078 ACTOR', 'Jean-Luc Bideau 71965 ACTOR']"
37,ts4,Breaking Bad,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,9.5,1775990.0,"['Bryan Cranston 7063 ACTOR', 'Aaron Paul 4570 ACTOR', 'Anna Gunn 37752 ACTOR', 'Dean Norris 11230 ACTOR', 'Jonathan Banks 10373 ACTOR', 'Bob Odenkirk 13233 ACTOR', 'Betsy Brandt 20552 ACTOR', 'RJ Mitte 85485 ACTOR']"
38,ts20371,Top Gear,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],32.0,8.7,117240.0,"['Chris Harris 644324 ACTOR', 'Paddy McGuinness 194945 ACTOR', 'Andrew Flintoff 294512 ACTOR']"
39,ts9,The Walking Dead,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,8.2,956604.0,"['Norman Reedus 7302 ACTOR', 'Melissa McBride 11306 ACTOR', 'Lauren Cohan 22811 ACTOR', 'Christian Serratos 9766 ACTOR', 'Josh McDermitt 84007 ACTOR', 'Seth Gilliam 12226 ACTOR', 'Ross Marquand 84012 ACTOR', 'Khary Payton 18053 ACTOR', 'Cooper Andrews 815971 ACTOR', 'Callan McAuliffe 6959 ACTOR', 'Jeffrey Dean Morgan 5577 ACTOR']"
40,ts21465,Supernatural,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,8.4,434081.0,"['Alexander Calvert 53164 ACTOR', 'Misha Collins 83871 ACTOR', 'Jared Padalecki 35955 ACTOR', 'Jensen Ackles 27757 ACTOR']"
41,ts288536,The Great British Baking Show,2010,TV-PG,57,"['reality', 'european']",['GB'],12.0,8.6,9856.0,"['Mary Berry 805887 ACTOR', 'Paul Hollywood 514647 ACTOR', 'Mel Giedroyc 255516 ACTOR', 'Sue Perkins 104527 ACTOR']"
42,ts12724,30 Rock,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,8.3,122698.0,"['Tina Fey 14010 ACTOR', 'Alec Baldwin 3464 ACTOR', 'Tracy Morgan 8985 ACTOR', 'Jack McBrayer 4886 ACTOR', 'Scott Adsit 7103 ACTOR', 'Judah Friedlander 21220 ACTOR', 'Jane Krakowski 2324 ACTOR', 'Keith Powell 89928 ACTOR', 'Kevin Brown 51395 ACTOR', 'Grizz Chapman 23088 ACTOR', 'Katrina Bowden 16302 ACTOR', 'John Lutz 89929 ACTOR', 'Maulik Pancholy 16127 ACTOR']"
43,ts6644,Borgen,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,8.5,25485.0,"['Sidse Babett Knudsen 2015 ACTOR', 'Pilou Asbæk 1995 ACTOR', 'Birgitte Hjort Sørensen 932 ACTOR', 'Mikael Birkkjær 93536 ACTOR', 'Lars Knutzon 63617 ACTOR', 'Søren Malling 2004 ACTOR', 'Benedikte Hansen 93537 ACTOR', 'Lars Mikkelsen 541 ACTOR', 'Emil Poulsen 93538 ACTOR', 'Freja Riemann 93539 ACTOR', 'Thomas Levin 51022 ACTOR', 'Lisbeth Wulff 120374 ACTOR', 'Søren Spanning 29389 ACTOR', 'Ole Thestrup 24978 ACTOR', 'Julie Agnete Vang 130098 ACTOR', 'Peter Mygind 39921 ACTOR']"
44,ts8308,Community,2009,TV-PG,23,['comedy'],['US'],6.0,8.5,257221.0,"['Joel McHale 10827 ACTOR', 'Gillian Jacobs 14416 ACTOR', 'Danny Pudi 32107 ACTOR', 'Alison Brie 12795 ACTOR', 'Jim Rash 19721 ACTOR', 'Ken Jeong 4889 ACTOR', 'Paget Brewster 19063 ACTOR', 'Keith David 5198 ACTOR']"
45,ts21469,Grey's Anatomy,2005,TV-14,49,"['drama', 'romance']",['US'],19.0,7.6,299165.0,"['Ellen Pompeo 6068 ACTOR', 'James Pickens Jr. 1244 ACTOR', 'Chandra Wilson 20452 ACTOR', 'Kevin McKidd 15280 ACTOR', 'Camilla Luddington 85461 ACTOR', 'Kim Raver 78072 ACTOR', 'Scott Speedman 9948 ACTOR', 'Chris Carmack 28688 ACTOR', 'Jake Borelli 256969 ACTOR', 'Anthony Hill 233329 ACTOR', 'Richard Flood 250960 ACTOR', 'Caterina Scorsone 10394 ACTOR', 'Kelly McCreary 71162 ACTOR']"
46,ts17156,Arrested Development,2003,TV-MA,28,['comedy'],['US'],5.0,8.7,300445.0,"['Jason Bateman 1941 ACTOR', 'Portia de Rossi 920 ACTOR', 'Will Arnett 4880 ACTOR', 'Michael Cera 10942 ACTOR', 'Alia Shawkat 25308 ACTOR', 'Tony Hale 5437 ACTOR', 'David Cross 1309 ACTOR', 'Jessica Walter 63140 ACTOR', 'Jeffrey Tambor 9736 ACTOR', 'Ron Howard 1324 ACTOR']"
47,ts22011,Heartland,2007,TV-PG,44,"['drama', 'family']",['CA'],15.0,8.4,16337.0,"['Amber Marshall 19582 ACTOR', 'Graham Wardle 40834 ACTOR', 'Shaun Johnston 85247 ACTOR']"
48,ts26091,The Staircase,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2.0,7.8,21531.0,"['Michael Peterson 135114 ACTOR', 'Bill Peterson 2190639 ACTOR', 'David Rudolf 320060 ACTOR', 'Ron Guerette 914755 ACTOR', 'Tom Maher 482889 ACTOR', 'Jean-Xavier de Lestrade 135115 DIRECTOR']"
49,ts22337,NCIS,2003,TV-14,43,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],20.0,7.8,143846.0,['David McCallum 16870 ACTOR']
50,ts3371,Avatar: The Last Airbender,2005,TV-Y7,24,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],3.0,9.3,303666.0,"['Zach Tyler 21033 ACTOR', 'Mae Whitman 1114 ACTOR', 'Jack De Sena 15491 ACTOR', 'Dante Basco 28024 ACTOR', 'Jessie Flower 1303 ACTOR', 'Greg Baldwin 40886 ACTOR', 'Dee Bradley Baker 18723 ACTOR', 'Grey DeLisle 14142 ACTOR', 'Cricket Leigh 86591 ACTOR', 'Olivia Hack 12790 ACTOR', 'André Sogliuzzo 336830 ACTOR']"
