Unnamed: 0,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,,history,sport,war,horror,romance,crime,reality,music,comedy,thriller,european,family,fantasy,western,animation,documentation,scifi,drama,action
2263,tm850723,Altered Carbon: Resleeved,2020,,75,"['scifi', 'animation', 'crime', 'drama', 'thriller', 'action']",['JP'],,6.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
2264,tm855483,Have a Good Trip: Adventures in Psychedelics,2020,,85,"['documentation', 'comedy']",['US'],,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2265,tm475836,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,,30,"['comedy', 'music']",['US'],,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2266,tm524282,Invader ZIM: Enter the Florpus,2019,,71,"['drama', 'animation', 'action', 'family', 'fantasy', 'comedy', 'scifi', 'thriller', 'horror']",['US'],,7.4,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1
2267,tm857051,Forensic,2020,PG-13,134,"['crime', 'thriller']",['IN'],,6.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2268,tm451548,The Fable,2019,,123,"['comedy', 'action']",['JP'],,6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2269,tm469008,How High 2,2019,,89,['comedy'],['US'],,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2270,tm816038,Violet Evergarden: Eternity and the Auto Memories Doll,2019,,90,"['family', 'animation', 'drama', 'fantasy']",['JP'],,7.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
2271,tm812916,The Stronghold,2020,,105,"['crime', 'thriller', 'action', 'european']",['FR'],,6.9,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
2272,tm845535,Coded Bias,2020,,86,['documentation'],"['US', 'CN', 'GB']",,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2273,tm447159,The Kindness of Strangers,2019,,114,"['drama', 'european']","['US', 'FR', 'SE', 'GB', 'DE', 'DK', 'CA']",,6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2274,tm938793,I Am Woman,2020,,116,"['drama', 'music', 'romance', 'history']",['AU'],,6.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2275,tm897732,Bigfoot Family,2020,G,97,"['animation', 'family']","['BE', 'FR']",,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
